timestamp,time,temperature,irradiance,voltage,current,power
1669993203,2022-12-02 07:00:03,-2.31,1.25,2.29,0.0,0.01
1669993262,2022-12-02 07:01:02,-2.31,1.25,2.3,0.0,0.01
1669993323,2022-12-02 07:02:02,-2.31,1.25,2.3,0.0,0.01
1669993382,2022-12-02 07:03:02,-2.25,1.88,2.31,0.0,0.01
1669993443,2022-12-02 07:04:02,-2.25,1.88,2.32,0.0,0.01
1669993502,2022-12-02 07:05:02,-2.25,1.88,2.33,0.01,0.01
1669993563,2022-12-02 07:06:02,-2.25,2.5,2.34,0.01,0.01
1669993622,2022-12-02 07:07:02,-2.25,2.5,2.35,0.01,0.01
1669993683,2022-12-02 07:08:02,-2.19,2.5,2.36,0.01,0.02
1669993742,2022-12-02 07:09:02,-2.19,3.75,2.37,0.01,0.02
1669993803,2022-12-02 07:10:02,-2.19,3.13,2.38,0.01,0.02
1669993862,2022-12-02 07:11:02,-2.12,3.75,2.84,0.01,0.03
1669993923,2022-12-02 07:12:02,-2.06,5.0,2.86,0.01,0.03
1669993982,2022-12-02 07:13:02,-2.06,5.63,2.89,0.01,0.03
1669994043,2022-12-02 07:14:02,-2.0,6.25,2.9,0.01,0.04
1669994102,2022-12-02 07:15:02,-1.94,6.88,2.89,0.01,0.04
1669994163,2022-12-02 07:16:02,-1.94,6.88,2.92,0.01,0.04
1669994222,2022-12-02 07:17:02,-1.88,7.5,2.9,0.01,0.04
1669994283,2022-12-02 07:18:02,-1.81,8.13,2.96,0.01,0.04
1669994342,2022-12-02 07:19:02,-1.81,8.13,2.96,0.02,0.05
1669994403,2022-12-02 07:20:02,-1.81,8.13,3.02,0.02,0.05
1669994462,2022-12-02 07:21:02,-1.81,9.38,3.03,0.02,0.05
1669994523,2022-12-02 07:22:02,-1.81,8.75,3.13,0.02,0.05
1669994582,2022-12-02 07:23:02,-1.81,9.38,3.18,0.02,0.06
1669994643,2022-12-02 07:24:02,-1.81,10.0,3.34,0.02,0.06
1669994702,2022-12-02 07:25:02,-1.81,10.63,3.39,0.02,0.06
1669994763,2022-12-02 07:26:02,-1.81,10.63,3.6,0.02,0.07
1669994822,2022-12-02 07:27:02,-1.81,11.25,3.16,0.02,0.06
1669994883,2022-12-02 07:28:02,-1.81,11.25,3.98,0.02,0.08
1669994942,2022-12-02 07:29:02,-1.75,11.25,3.72,0.02,0.08
1669995003,2022-12-02 07:30:02,-1.69,11.88,3.41,0.02,0.08
1669995062,2022-12-02 07:31:02,-1.69,12.5,3.91,0.02,0.09
1669995123,2022-12-02 07:32:03,-1.62,12.5,4.55,0.02,0.1
1669995183,2022-12-02 07:33:02,-1.56,12.5,5.14,0.02,0.12
1669995243,2022-12-02 07:34:03,-1.56,13.75,5.17,0.02,0.12
1669995302,2022-12-02 07:35:02,-1.56,13.75,5.5,0.02,0.13
1669995363,2022-12-02 07:36:02,-1.5,13.75,6.88,0.02,0.17
1669995422,2022-12-02 07:37:02,-1.5,14.38,7.43,0.03,0.19
1669995483,2022-12-02 07:38:02,-1.44,15.0,8.09,0.03,0.21
1669995543,2022-12-02 07:39:03,-1.44,15.0,9.29,0.03,0.26
1669995602,2022-12-02 07:40:02,-1.44,16.25,11.08,0.03,0.31
1669995663,2022-12-02 07:41:02,-1.44,16.88,6.61,0.03,0.19
1669995722,2022-12-02 07:42:02,-1.44,18.13,9.91,0.03,0.29
1669995783,2022-12-02 07:43:02,-1.44,17.5,12.05,0.03,0.34
1669995843,2022-12-02 07:44:03,-1.44,16.25,6.56,0.03,0.19
1669995902,2022-12-02 07:45:02,-1.44,16.88,6.54,0.03,0.2
1669995963,2022-12-02 07:46:02,-1.38,17.5,15.56,0.02,0.36
1669996022,2022-12-02 07:47:02,-1.38,18.75,6.9,0.03,0.23
1669996083,2022-12-02 07:48:02,-1.31,20.63,15.91,0.03,0.44
1669996142,2022-12-02 07:49:02,-1.31,23.13,8.41,0.04,0.35
1669996203,2022-12-02 07:50:02,-1.25,29.38,17.25,0.03,0.44
1669996262,2022-12-02 07:51:02,-1.25,36.25,17.8,0.02,0.34
1669996323,2022-12-02 07:52:02,-1.06,46.88,17.38,0.03,0.44
1669996382,2022-12-02 07:53:02,-1.06,47.5,17.14,0.03,0.44
1669996443,2022-12-02 07:54:02,-1.0,51.88,16.98,0.03,0.44
1669996502,2022-12-02 07:55:02,-0.94,43.75,15.67,0.03,0.48
1669996563,2022-12-02 07:56:02,-0.94,33.13,16.21,0.03,0.44
1669996622,2022-12-02 07:57:02,-0.88,34.38,14.66,0.03,0.44
1669996683,2022-12-02 07:58:02,-0.88,25.63,15.69,0.03,0.43
1669996742,2022-12-02 07:59:02,-0.81,21.88,15.9,0.03,0.44
1669996803,2022-12-02 08:00:02,-0.81,21.88,16.68,0.02,0.37
1669996862,2022-12-02 08:01:02,-0.75,22.5,16.59,0.03,0.44
1669996923,2022-12-02 08:02:02,-0.75,23.75,9.1,0.04,0.41
1669996982,2022-12-02 08:03:02,-0.69,28.75,12.74,0.06,0.72
1669997043,2022-12-02 08:04:02,-0.56,48.13,12.73,0.06,0.74
1669997102,2022-12-02 08:05:02,-0.44,73.75,12.82,0.06,0.76
1669997163,2022-12-02 08:06:02,-0.38,76.25,12.94,0.06,0.79
1669997222,2022-12-02 08:07:02,-0.31,56.88,13.76,0.06,0.84
1669997283,2022-12-02 08:08:02,-0.25,43.13,14.66,0.06,0.84
1669997342,2022-12-02 08:09:02,-0.19,43.75,13.13,0.06,0.73
1669997403,2022-12-02 08:10:02,-0.12,41.88,17.27,0.04,0.61
1669997462,2022-12-02 08:11:02,-0.12,39.38,12.38,0.05,0.67
1669997523,2022-12-02 08:12:02,-0.06,41.88,17.39,0.03,0.58
1669997582,2022-12-02 08:13:02,-0.06,40.63,13.63,0.06,0.76
1669997643,2022-12-02 08:14:02,0.0,42.5,12.74,0.06,0.71
1669997702,2022-12-02 08:15:02,0.06,40.63,12.72,0.06,0.73
1669997763,2022-12-02 08:16:02,0.12,36.25,12.76,0.06,0.77
1669997822,2022-12-02 08:17:02,0.19,38.75,12.82,0.06,0.83
1669997883,2022-12-02 08:18:02,0.19,41.88,13.82,0.07,0.96
1669997942,2022-12-02 08:19:02,0.12,43.13,16.85,0.07,1.11
