timestamp,time,temperature,irradiance,voltage,current,power,temperature smoothed,irradiance smoothed,voltage smoothed,current smoothed,power smoothed,IAM factor,pvwatts power,computed power
1670943602,2022-12-13 07:00:02,-2.06,0.0,12.66,0.0,0.0,-2.06,0.21,12.85,0.0,0.0,0.0,0.0,0.0
1670943663,2022-12-13 07:01:02,-2.06,0.0,12.9,0.0,0.0,-2.04,0.32,12.9,0.0,0.0,0.0,0.0,0.0
1670943722,2022-12-13 07:02:02,-2.06,0.63,12.98,0.0,0.005,-2.04,0.38,12.94,0.0,0.0,0.0,0.0,0.0
1670943783,2022-12-13 07:03:02,-2.0,0.63,13.06,0.0,0.01,-2.01,0.5,13.02,0.0,0.01,0.0,0.0,0.0
1670943842,2022-12-13 07:04:02,-2.0,0.63,13.08,0.0,0.01,-1.99,0.75,13.06,0.0,0.01,0.0,0.0,0.0
1670943903,2022-12-13 07:05:02,-1.94,0.63,13.09,0.0,0.01,-1.96,0.88,13.09,0.0,0.02,0.0,0.0,0.0
1670943962,2022-12-13 07:06:02,-1.94,1.25,13.1,0.0,0.02,-1.95,1.0,13.1,0.0,0.02,0.0,0.0,0.0
1670944023,2022-12-13 07:07:02,-1.94,1.25,13.105,0.0,0.025,-1.94,1.25,13.1,0.0,0.02,0.0,0.0,0.0
1670944082,2022-12-13 07:08:02,-1.94,1.25,13.11,0.0,0.03,-1.94,1.5,13.11,0.0,0.03,0.0,0.0,0.0
1670944143,2022-12-13 07:09:02,-1.94,1.88,13.12,0.0,0.03,-1.95,1.75,13.12,0.0,0.03,0.0,0.0,0.0
1670944202,2022-12-13 07:10:02,-1.94,1.88,13.12,0.0,0.04,-1.96,2.0,13.12,0.0,0.04,0.0,0.0,0.0
1670944263,2022-12-13 07:11:02,-2.0,2.5,13.12,0.0,0.05,-1.98,2.38,13.12,0.0,0.05,0.0,0.0,0.0
1670944323,2022-12-13 07:12:03,-2.0,2.5,13.13,0.0,0.05,-2.0,2.63,13.13,0.0,0.05,0.0,0.0,0.0
