timestamp,time,temperature,irradiance,voltage,current,power
1663509602,2022-09-18 07:00:02,14.69,0.0,2.2,0.0,0.0
1663509663,2022-09-18 07:01:02,14.69,0.0,2.21,0.0,0.0
1663509723,2022-09-18 07:02:03,14.62,0.0,2.22,0.0,0.0
1663509782,2022-09-18 07:03:02,14.62,0.0,2.22,0.0,0.0
1663509843,2022-09-18 07:04:02,14.69,0.63,2.23,0.0,0.0
1663509903,2022-09-18 07:05:03,14.75,0.0,2.23,0.0,0.0
1663509962,2022-09-18 07:06:02,14.81,0.63,2.24,0.0,0.0
1663510023,2022-09-18 07:07:02,14.81,0.0,2.24,0.0,0.01
1663510083,2022-09-18 07:08:02,14.75,0.63,2.25,0.0,0.01
1663510142,2022-09-18 07:09:02,14.75,0.63,2.26,0.0,0.01
1663510203,2022-09-18 07:10:02,14.75,0.63,2.26,0.0,0.01
1663510263,2022-09-18 07:11:02,14.75,0.63,2.27,0.0,0.01
1663510323,2022-09-18 07:12:03,14.81,0.63,2.28,0.0,0.01
1663510382,2022-09-18 07:13:02,14.81,1.25,2.28,0.0,0.01
1663510442,2022-09-18 07:14:02,14.81,1.25,2.29,0.0,0.01
1663510503,2022-09-18 07:15:02,14.88,1.88,2.3,0.0,0.01
1663510563,2022-09-18 07:16:02,14.88,1.25,2.3,0.0,0.01
1663510622,2022-09-18 07:17:02,14.88,1.88,2.31,0.0,0.01
1663510682,2022-09-18 07:18:02,14.88,1.88,2.32,0.0,0.01
1663510743,2022-09-18 07:19:02,14.88,1.88,2.32,0.01,0.01
1663510803,2022-09-18 07:20:02,14.88,2.5,2.33,0.01,0.01
1663510862,2022-09-18 07:21:02,14.88,3.13,2.35,0.01,0.02
1663510923,2022-09-18 07:22:02,14.88,3.13,2.36,0.01,0.02
1663510983,2022-09-18 07:23:02,14.88,3.13,2.36,0.01,0.02
1663511043,2022-09-18 07:24:03,14.88,3.75,2.36,0.01,0.02
1663511102,2022-09-18 07:25:02,14.94,4.38,2.84,0.01,0.03
1663511163,2022-09-18 07:26:02,15.0,5.0,2.86,0.01,0.03
1663511223,2022-09-18 07:27:03,15.0,6.88,2.89,0.01,0.04
1663511282,2022-09-18 07:28:02,15.12,7.5,2.85,0.01,0.04
1663511343,2022-09-18 07:29:02,15.19,8.13,2.91,0.01,0.04
1663511403,2022-09-18 07:30:02,15.19,8.75,2.96,0.01,0.04
1663511462,2022-09-18 07:31:02,15.25,9.38,3.02,0.02,0.05
1663511522,2022-09-18 07:32:02,15.31,9.38,3.01,0.02,0.05
1663511583,2022-09-18 07:33:02,15.38,10.0,3.04,0.02,0.05
1663511643,2022-09-18 07:34:02,15.44,10.0,3.22,0.02,0.06
1663511702,2022-09-18 07:35:02,15.44,8.75,2.94,0.02,0.05
1663511762,2022-09-18 07:36:02,15.5,8.75,3.05,0.02,0.05
1663511823,2022-09-18 07:37:02,15.56,9.38,3.08,0.02,0.05
1663511883,2022-09-18 07:38:03,15.56,10.0,3.38,0.02,0.06
1663511942,2022-09-18 07:39:02,15.62,9.38,3.19,0.02,0.05
1663512002,2022-09-18 07:40:02,15.62,8.75,2.99,0.02,0.05
1663512063,2022-09-18 07:41:02,15.69,8.75,3.07,0.02,0.05
1663512123,2022-09-18 07:42:03,15.69,10.63,3.3,0.02,0.06
1663512182,2022-09-18 07:43:02,15.69,10.0,3.2,0.02,0.06
1663512243,2022-09-18 07:44:02,15.69,10.63,3.5,0.02,0.07
1663512303,2022-09-18 07:45:02,15.75,10.0,3.07,0.02,0.06
1663512363,2022-09-18 07:46:03,15.75,13.13,4.48,0.02,0.1
1663512422,2022-09-18 07:47:02,15.81,16.88,11.28,0.03,0.33
1663512483,2022-09-18 07:48:02,15.88,19.38,13.37,0.03,0.39
1663512543,2022-09-18 07:49:02,15.88,22.5,14.49,0.03,0.43
1663512602,2022-09-18 07:50:02,15.94,28.13,15.96,0.03,0.44
1663512662,2022-09-18 07:51:02,16.0,35.63,10.04,0.06,0.61
1663512722,2022-09-18 07:52:02,16.12,41.25,11.41,0.07,0.79
1663512783,2022-09-18 07:53:02,16.19,43.75,11.46,0.07,0.85
1663512843,2022-09-18 07:54:02,16.31,43.13,12.3,0.07,0.87
1663512903,2022-09-18 07:55:02,16.38,35.0,16.82,0.03,0.44
1663512962,2022-09-18 07:56:02,16.44,35.0,12.59,0.06,0.7
1663513022,2022-09-18 07:57:02,16.5,41.25,10.66,0.06,0.68
1663513082,2022-09-18 07:58:02,16.56,50.63,12.69,0.08,1.02
1663513143,2022-09-18 07:59:02,16.62,53.75,12.53,0.09,1.08
1663513203,2022-09-18 08:00:02,16.75,45.0,13.23,0.07,0.94
1663513263,2022-09-18 08:01:03,16.81,46.25,17.62,0.03,0.45
1663513322,2022-09-18 08:02:02,16.81,49.38,12.37,0.08,0.98
1663513383,2022-09-18 08:03:02,16.94,66.88,12.15,0.11,1.31
1663513443,2022-09-18 08:04:02,17.06,75.63,13.75,0.12,1.64
1663513502,2022-09-18 08:05:02,17.12,71.25,13.86,0.11,1.53
1663513562,2022-09-18 08:06:02,17.25,76.88,13.82,0.12,1.67
1663513623,2022-09-18 08:07:02,17.31,80.63,16.54,0.11,1.74
1663513683,2022-09-18 08:08:02,17.5,115.63,12.76,0.19,2.43
1663513742,2022-09-18 08:09:02,17.62,113.13,14.05,0.18,2.46
1663513802,2022-09-18 08:10:02,17.88,99.38,13.21,0.16,2.1
1663513863,2022-09-18 08:11:02,18.0,100.0,15.06,0.16,2.37
1663513923,2022-09-18 08:12:02,18.19,104.38,15.93,0.15,2.33
1663513983,2022-09-18 08:13:03,18.38,93.75,14.7,0.14,2.0
1663514042,2022-09-18 08:14:02,18.44,106.25,17.79,0.12,2.07
1663514103,2022-09-18 08:15:02,18.56,109.38,13.43,0.18,2.39
1663514163,2022-09-18 08:16:02,18.62,84.38,14.14,0.12,1.71
1663514223,2022-09-18 08:17:03,18.56,85.63,13.36,0.13,1.8
1663514282,2022-09-18 08:18:02,18.56,86.25,15.64,0.13,1.96
1663514343,2022-09-18 08:19:02,18.56,86.25,17.03,0.1,1.68
1663514403,2022-09-18 08:20:02,18.44,105.0,13.02,0.17,2.23
