timestamp,time,temperature,irradiance,voltage,current,power,temperature smoothed,irradiance smoothed,voltage smoothed,current smoothed,power smoothed,IAM factor,pvwatts power,computed power
1671548402,2022-12-20 07:00:02,5.06,0.0,6.14,-0.0,0.0,5.06,0.0,6.86,0.0,0.0,0.0,0.0,0.0
1671548463,2022-12-20 07:01:02,5.06,0.0,6.9,-0.0,0.0,5.06,0.0,7.18,0.0,0.0,0.0,0.0,0.0
1671548523,2022-12-20 07:02:02,5.06,0.0,7.55,-0.0,0.0,5.06,0.0,7.46,0.0,0.0,0.0,0.0,0.0
1671548582,2022-12-20 07:03:02,5.06,0.0,8.11,-0.0,0.0,5.06,0.0,8.04,0.0,0.0,0.0,0.0,0.0
1671548643,2022-12-20 07:04:02,5.06,0.0,8.6,-0.0,0.0,5.06,0.0,8.54,0.0,0.0,0.0,0.0,0.0
1671548703,2022-12-20 07:05:02,5.06,0.0,9.03,0.0,0.0,5.06,0.0,8.99,0.0,0.0,0.0,0.0,0.0
1671548762,2022-12-20 07:06:02,5.06,0.0,9.41,-0.0,0.0,5.06,0.0,9.39,0.0,0.0,0.0,0.0,0.0
1671548823,2022-12-20 07:07:02,5.06,0.0,9.78,0.0,0.0,5.06,0.0,9.76,0.0,0.0,0.0,0.0,0.0
1671548882,2022-12-20 07:08:02,5.06,0.0,10.13,0.0,0.0,5.06,0.0,10.12,0.0,0.0,0.0,0.0,0.0
1671548943,2022-12-20 07:09:02,5.06,0.0,10.47,0.0,0.0,5.06,0.0,10.45,0.0,0.0,0.0,0.0,0.0
1671549002,2022-12-20 07:10:02,5.06,0.0,10.79,0.0,0.0,5.06,0.0,10.75,0.0,0.0,0.0,0.0,0.0
1671549063,2022-12-20 07:11:02,5.06,0.0,11.07,0.0,0.0,5.06,-0.13,11.04,0.0,0.0,0.0,-0.0,-0.0
1671549122,2022-12-20 07:12:02,5.06,0.0,11.31,0.0,0.0,5.06,-0.13,11.36,0.0,0.0,0.0,-0.0,-0.0
1671549183,2022-12-20 07:13:02,5.06,-0.63,11.58,0.0,0.0,5.06,0.0,11.71,0.0,0.0,0.0,0.0,0.0
