timestamp,time,temperature,irradiance,voltage,current,power
1666188003,2022-10-19 07:00:02,9.62,0.0,6.91,-0.0,0.0
1666188063,2022-10-19 07:01:02,9.56,0.0,7.54,-0.0,0.0
1666188123,2022-10-19 07:02:02,9.56,0.0,8.12,-0.0,0.0
1666188182,2022-10-19 07:03:02,9.56,0.0,8.63,0.0,0.0
1666188242,2022-10-19 07:04:02,9.56,0.0,9.11,-0.0,0.0
1666188303,2022-10-19 07:05:02,9.56,0.0,9.55,-0.0,0.0
1666188363,2022-10-19 07:06:02,9.56,0.0,9.96,-0.0,0.0
1666188423,2022-10-19 07:07:03,9.62,-0.63,10.32,0.0,0.0
1666188482,2022-10-19 07:08:02,9.62,-0.63,10.64,-0.0,0.0
1666188542,2022-10-19 07:09:02,9.56,-0.63,10.93,0.0,0.0
1666188603,2022-10-19 07:10:02,9.56,0.0,11.18,0.0,0.0
1666188663,2022-10-19 07:11:02,9.56,0.0,11.41,0.0,0.0
1666188723,2022-10-19 07:12:03,9.56,0.0,11.62,0.0,0.0
1666188782,2022-10-19 07:13:02,9.56,0.0,11.81,0.0,0.0
1666188843,2022-10-19 07:14:02,9.56,0.63,11.99,0.0,0.0
1666188903,2022-10-19 07:15:02,9.56,0.63,12.17,-0.0,0.0
1666188963,2022-10-19 07:16:03,9.56,0.63,12.37,0.0,0.0
1666189022,2022-10-19 07:17:02,9.56,0.63,12.56,0.0,0.0
1666189083,2022-10-19 07:18:02,9.62,0.63,12.75,0.0,0.0
1666189143,2022-10-19 07:19:02,9.62,1.25,12.88,0.0,0.0
1666189203,2022-10-19 07:20:03,9.56,1.25,12.91,0.0,0.01
1666189262,2022-10-19 07:21:02,9.62,1.25,12.93,0.0,0.01
1666189323,2022-10-19 07:22:02,9.62,1.88,12.94,0.0,0.02
1666189383,2022-10-19 07:23:02,9.62,2.5,12.95,0.0,0.03
1666189443,2022-10-19 07:24:03,9.62,2.5,12.96,0.0,0.03
1666189502,2022-10-19 07:25:02,9.62,3.13,12.97,0.0,0.04
1666189563,2022-10-19 07:26:02,9.62,3.75,12.97,0.0,0.05
1666189623,2022-10-19 07:27:02,9.62,3.75,12.98,0.0,0.06
1666189682,2022-10-19 07:28:02,9.62,4.38,12.98,0.01,0.07
1666189743,2022-10-19 07:29:02,9.62,4.38,12.98,0.01,0.08
1666189803,2022-10-19 07:30:02,9.62,5.63,12.99,0.01,0.09
