timestamp,time,temperature,irradiance,voltage,current,power
1665669603,2022-10-13 07:00:02,14.38,0.0,7.03,-0.0,0.0
1665669662,2022-10-13 07:01:02,14.38,0.0,7.52,-0.0,0.0
1665669723,2022-10-13 07:02:02,14.38,0.0,7.98,-0.0,0.0
1665669783,2022-10-13 07:03:02,14.31,0.0,8.38,-0.0,0.0
1665669843,2022-10-13 07:04:03,14.38,0.0,8.71,-0.0,0.0
1665669902,2022-10-13 07:05:02,14.31,0.0,8.99,-0.0,0.0
1665669963,2022-10-13 07:06:02,14.31,0.0,9.25,-0.0,0.0
1665670023,2022-10-13 07:07:02,14.31,0.0,9.51,0.0,0.0
1665670083,2022-10-13 07:08:03,14.31,0.0,9.77,-0.0,0.0
1665670142,2022-10-13 07:09:02,14.31,0.0,10.02,-0.0,0.0
1665670203,2022-10-13 07:10:02,14.31,0.0,10.28,-0.0,0.0
1665670263,2022-10-13 07:11:02,14.31,0.0,10.51,-0.0,0.0
1665670323,2022-10-13 07:12:03,14.25,0.0,10.71,-0.0,0.0
1665670382,2022-10-13 07:13:02,14.25,0.0,10.9,-0.0,0.0
1665670443,2022-10-13 07:14:02,14.31,0.0,11.08,0.0,0.0
1665670503,2022-10-13 07:15:02,14.31,0.0,11.28,0.0,0.0
1665670563,2022-10-13 07:16:03,14.31,0.0,11.48,-0.0,0.0
1665670622,2022-10-13 07:17:02,14.31,0.0,11.67,0.0,0.0
1665670683,2022-10-13 07:18:02,14.31,0.63,11.85,0.0,0.0
1665670743,2022-10-13 07:19:02,14.31,0.63,12.03,-0.0,0.0
1665670803,2022-10-13 07:20:03,14.31,0.63,12.21,0.0,0.0
1665670862,2022-10-13 07:21:02,14.31,0.63,12.38,-0.0,0.0
1665670923,2022-10-13 07:22:02,14.31,1.25,12.55,0.0,0.0
1665670983,2022-10-13 07:23:02,14.31,1.25,12.72,0.0,0.0
1665671043,2022-10-13 07:24:03,14.31,1.25,12.87,0.0,0.0
1665671102,2022-10-13 07:25:02,14.31,1.88,12.91,0.0,0.01
1665671162,2022-10-13 07:26:02,14.31,1.88,12.93,0.0,0.01
1665671223,2022-10-13 07:27:02,14.38,1.88,12.94,0.0,0.01
1665671283,2022-10-13 07:28:02,14.38,1.88,12.95,0.0,0.02
1665671343,2022-10-13 07:29:03,14.38,2.5,12.96,0.0,0.03
1665671402,2022-10-13 07:30:02,14.38,3.13,12.96,0.0,0.04
1665671463,2022-10-13 07:31:02,14.44,3.13,12.97,0.0,0.05
1665671523,2022-10-13 07:32:02,14.44,3.75,12.98,0.0,0.05
1665671583,2022-10-13 07:33:03,14.44,3.75,12.98,0.0,0.06
1665671642,2022-10-13 07:34:02,14.44,4.38,12.98,0.01,0.07
1665671703,2022-10-13 07:35:02,14.44,4.38,12.98,0.01,0.07
1665671763,2022-10-13 07:36:02,14.44,5.0,12.98,0.01,0.08
1665671822,2022-10-13 07:37:02,14.5,4.38,12.98,0.01,0.08
