timestamp,time,temperature,irradiance,voltage,current,power,temperature smoothed,irradiance smoothed,voltage smoothed,current smoothed,power smoothed,IAM factor,pvwatts power,computed power
1666879202,2022-10-27 07:00:02,3.06,0.0,2.99,-0.0,0.0,3.06,0.0,3.22,0.0,0.0,0.0,0.0,0.0
1666879263,2022-10-27 07:01:02,3.06,0.0,3.33,-0.0,0.0,3.06,0.0,3.46,0.0,0.0,0.0,0.0,0.0
1666879322,2022-10-27 07:02:02,3.06,0.0,3.35,-0.0,0.0,3.06,0.0,3.82,0.0,0.0,0.0,0.0,0.0
1666879383,2022-10-27 07:03:02,3.06,0.0,4.16,-0.0,0.0,3.06,0.0,4.47,0.0,0.0,0.0,0.0,0.0
1666879442,2022-10-27 07:04:02,3.06,0.0,5.26,-0.0,0.0,3.05,0.0,5.24,0.0,0.0,0.0,0.0,0.0
1666879503,2022-10-27 07:05:02,3.06,0.0,6.27,-0.0,0.0,3.04,0.0,6.15,0.0,0.0,0.0,0.0,0.0
1666879562,2022-10-27 07:06:02,3.0,0.0,7.15,-0.0,0.0,3.02,0.0,7.03,0.0,0.0,0.0,0.0,0.0
1666879623,2022-10-27 07:07:03,3.0,0.0,7.91,-0.0,0.0,3.01,0.0,7.81,0.0,0.0,0.0,0.0,0.0
1666879683,2022-10-27 07:08:02,3.0,0.0,8.57,-0.0,0.0,3.0,0.0,8.49,0.0,0.0,0.0,0.0,0.0
1666879743,2022-10-27 07:09:03,3.0,0.0,9.15,-0.0,0.0,3.0,0.0,9.08,0.0,0.0,0.0,0.0,0.0
1666879803,2022-10-27 07:10:02,3.0,0.0,9.66,0.0,0.0,2.99,0.0,9.61,0.0,0.0,0.0,0.0,0.0
1666879862,2022-10-27 07:11:02,3.0,0.0,10.12,-0.0,0.0,2.99,0.0,10.09,0.0,0.0,0.0,0.0,0.0
1666879922,2022-10-27 07:12:02,2.94,0.0,10.56,-0.0,0.0,2.99,0.0,10.52,0.0,0.0,0.0,0.0,0.0
1666879983,2022-10-27 07:13:03,3.0,0.0,10.96,-0.0,0.0,2.99,0.0,10.91,0.0,0.0,0.0,0.0,0.0
1666880043,2022-10-27 07:14:02,3.0,0.0,11.3,0.0,0.0,2.99,0.0,11.27,0.0,0.0,0.0,0.0,0.0
1666880103,2022-10-27 07:15:03,3.0,0.0,11.62,-0.0,0.0,3.0,0.0,11.6,0.0,0.0,0.0,0.0,0.0
1666880163,2022-10-27 07:16:02,3.0,0.0,11.91,0.0,0.0,3.0,0.0,11.89,0.0,0.0,0.0,0.0,0.0
1666880222,2022-10-27 07:17:02,3.0,0.0,12.19,-0.0,0.0,3.0,0.13,12.17,0.0,0.0,0.0,0.0,0.0
1666880283,2022-10-27 07:18:02,3.0,0.0,12.45,-0.0,0.0,3.0,0.25,12.44,0.0,0.0,0.0,0.0,0.0
1666880342,2022-10-27 07:19:02,3.0,0.63,12.7,0.0,0.0,3.01,0.38,12.66,0.0,0.0,0.0,0.0,0.0
1666880403,2022-10-27 07:20:02,3.0,0.63,12.93,0.0,0.0,3.02,0.63,12.83,0.0,0.0,0.0,0.0,0.0
1666880462,2022-10-27 07:21:02,3.06,0.63,13.02,0.0,0.0,3.02,0.88,12.95,0.0,0.0,0.0,0.0,0.0
1666880523,2022-10-27 07:22:02,3.06,1.25,13.04,0.0,0.01,3.02,1.0,13.02,0.0,0.01,0.0,0.0,0.0
1666880582,2022-10-27 07:23:02,3.0,1.25,13.05,0.0,0.015,3.02,1.25,13.05,0.0,0.01,0.0,0.0,0.0
1666880643,2022-10-27 07:24:03,3.0,1.25,13.06,0.0,0.02,3.01,1.5,13.06,0.0,0.02,0.0,0.0,0.0
1666880703,2022-10-27 07:25:02,3.0,1.88,13.07,0.0,0.025,3.01,1.63,13.07,0.0,0.02,0.0,0.0,0.0
1666880763,2022-10-27 07:26:03,3.0,1.88,13.08,0.0,0.03,3.02,1.88,13.07,0.0,0.03,0.0,0.0,0.0
1666880823,2022-10-27 07:27:02,3.06,1.88,13.08,0.0,0.03,3.04,2.13,13.08,0.0,0.03,0.0,0.0,0.0
1666880882,2022-10-27 07:28:02,3.06,2.5,13.08,0.0,0.04,3.05,2.38,13.08,0.0,0.04,0.0,0.0,0.0
1666880943,2022-10-27 07:29:02,3.06,2.5,13.09,0.0,0.05,3.05,2.75,13.09,0.0,0.05,0.0,0.0,0.0
1666881002,2022-10-27 07:30:02,3.06,3.13,13.09,0.0,0.05,3.05,3.13,13.09,0.0,0.05,0.012414986467161953,0.0,0.0
1666881063,2022-10-27 07:31:02,3.0,3.75,13.1,0.0,0.06,3.06,3.38,13.1,0.0,0.06,0.02892353560695898,0.0,0.0
1666881122,2022-10-27 07:32:02,3.06,3.75,13.1,0.01,0.07,3.07,3.75,13.1,0.01,0.07,0.04527552916518202,0.01,0.0
1666881183,2022-10-27 07:33:02,3.12,3.75,13.1,0.01,0.08,3.08,4.13,13.1,0.01,0.08,0.06148411504273909,0.01,0.01
1666881242,2022-10-27 07:34:02,3.12,4.38,13.11,0.01,0.09,3.11,4.38,13.11,0.01,0.09,0.07755050270960177,0.01,0.01
1666881303,2022-10-27 07:35:02,3.12,5.0,13.11,0.01,0.1,3.13,4.75,13.11,0.01,0.1,0.09346886314641428,0.01,0.01
1666881362,2022-10-27 07:36:02,3.12,5.0,13.11,0.01,0.11,3.15,5.25,13.11,0.01,0.11,0.10922965207698127,0.02,0.02
1666881423,2022-10-27 07:37:02,3.19,5.63,13.12,0.01,0.12,3.16,5.63,13.12,0.01,0.12,0.12482178174666018,0.02,0.02
1666881483,2022-10-27 07:38:03,3.19,6.25,13.12,0.01,0.12,3.19,6.0,13.12,0.01,0.12,0.1404892667043814,0.03,0.02
1666881542,2022-10-27 07:39:02,3.19,6.25,13.12,0.01,0.13,3.21,6.38,13.12,0.01,0.13,0.15545562398788737,0.03,0.03
1666881603,2022-10-27 07:40:03,3.25,6.88,13.12,0.01,0.14,3.23,6.75,13.12,0.01,0.14,0.17072576571946946,0.04,0.03
1666881663,2022-10-27 07:41:02,3.25,6.88,13.12,0.01,0.15,3.25,7.13,13.12,0.01,0.15,0.1852902802517789,0.04,0.04
1666881723,2022-10-27 07:42:03,3.25,7.5,13.13,0.01,0.16,3.27,7.5,13.13,0.01,0.16,0.2001295314413659,0.05,0.04
1666881783,2022-10-27 07:43:02,3.31,8.13,13.13,0.01,0.17,3.29,7.75,13.13,0.01,0.17,0.21426498969002775,0.05,0.05
1666881842,2022-10-27 07:44:02,3.31,8.13,13.13,0.01,0.17,3.31,8.13,13.13,0.01,0.17,0.22841660353811666,0.06,0.05
1666881903,2022-10-27 07:45:02,3.31,8.13,13.14,0.01,0.18,3.34,8.5,13.14,0.01,0.18,0.2423397038971521,0.06,0.06
1666881962,2022-10-27 07:46:02,3.38,8.75,13.14,0.01,0.19,3.36,9.0,13.14,0.01,0.2,0.25603207655736177,0.07,0.07
1666882023,2022-10-27 07:47:02,3.38,9.38,13.14,0.02,0.21,3.39,9.88,13.15,0.02,0.22,0.2694924075876182,0.08,0.08
1666882082,2022-10-27 07:48:02,3.44,10.63,13.15,0.02,0.23,3.43,12.0,13.16,0.02,0.26,0.28272017165551533,0.11,0.1
1666882143,2022-10-27 07:49:03,3.44,12.5,13.16,0.02,0.27,3.46,16.63,13.84,0.02,0.3,0.29593015079865803,0.15,0.14
