timestamp,time,temperature,irradiance,voltage,current,power
1668956403,2022-11-20 07:00:02,-0.81,5.63,13.31,0.01,0.11
1668956462,2022-11-20 07:01:02,-0.81,6.25,13.31,0.01,0.12
1668956523,2022-11-20 07:02:02,-0.81,6.25,13.31,0.01,0.13
1668956582,2022-11-20 07:03:02,-0.81,6.88,13.32,0.01,0.13
1668956643,2022-11-20 07:04:02,-0.75,7.5,13.32,0.01,0.14
1668956702,2022-11-20 07:05:02,-0.69,7.5,13.32,0.01,0.15
1668956763,2022-11-20 07:06:02,-0.69,8.13,13.32,0.01,0.16
1668956822,2022-11-20 07:07:02,-0.69,8.13,13.33,0.01,0.17
1668956883,2022-11-20 07:08:02,-0.69,8.75,13.33,0.01,0.18
1668956943,2022-11-20 07:09:03,-0.69,9.38,13.33,0.01,0.19
1668957003,2022-11-20 07:10:02,-0.62,9.38,13.34,0.01,0.2
1668957063,2022-11-20 07:11:03,-0.62,10.0,13.34,0.02,0.21
1668957122,2022-11-20 07:12:02,-0.5,10.63,13.34,0.02,0.22
1668957183,2022-11-20 07:13:02,-0.44,11.25,13.34,0.02,0.24
1668957242,2022-11-20 07:14:02,-0.44,12.5,13.35,0.02,0.26
1668957303,2022-11-20 07:15:02,-0.44,16.25,13.36,0.02,0.32
1668957362,2022-11-20 07:16:02,-0.38,22.5,13.4,0.03,0.38
1668957423,2022-11-20 07:17:02,-0.38,31.25,13.41,0.03,0.39
1668957483,2022-11-20 07:18:02,-0.31,40.0,13.4,0.03,0.36
1668957542,2022-11-20 07:19:02,-0.31,43.75,13.38,0.03,0.34
1668957603,2022-11-20 07:20:02,-0.25,32.5,13.38,0.03,0.34
1668957662,2022-11-20 07:21:02,-0.25,20.0,13.38,0.03,0.34
1668957722,2022-11-20 07:22:02,-0.19,17.5,13.39,0.03,0.36
1668957783,2022-11-20 07:23:02,-0.12,19.38,13.42,0.03,0.39
1668957842,2022-11-20 07:24:02,-0.06,22.5,15.48,0.03,0.43
1668957903,2022-11-20 07:25:02,-0.06,26.88,16.57,0.03,0.45
1668957962,2022-11-20 07:26:02,0.0,31.25,17.36,0.03,0.44
1668958023,2022-11-20 07:27:03,0.12,36.25,17.94,0.02,0.43
1668958083,2022-11-20 07:28:02,0.25,42.5,18.26,0.02,0.44
1668958143,2022-11-20 07:29:03,0.38,50.63,15.94,0.06,0.9
1668958203,2022-11-20 07:30:02,0.5,65.63,19.06,0.02,0.4
1668958262,2022-11-20 07:31:02,0.62,86.25,15.44,0.08,1.26
1668958323,2022-11-20 07:32:02,0.75,100.0,19.66,0.02,0.3
1668958382,2022-11-20 07:33:02,0.88,100.63,15.18,0.07,1.03
1668958443,2022-11-20 07:34:02,1.0,103.13,15.48,0.06,0.86
1668958503,2022-11-20 07:35:03,1.12,95.0,15.36,0.04,0.67
1668958563,2022-11-20 07:36:02,1.19,80.63,15.42,0.04,0.56
1668958622,2022-11-20 07:37:02,1.25,58.13,15.54,0.03,0.49
1668958683,2022-11-20 07:38:02,1.31,37.5,15.63,0.03,0.45
1668958743,2022-11-20 07:39:03,1.31,23.75,15.55,0.03,0.44
1668958802,2022-11-20 07:40:02,1.31,22.5,15.4,0.03,0.49
1668958863,2022-11-20 07:41:02,1.31,26.88,15.3,0.03,0.52
1668958922,2022-11-20 07:42:02,1.38,27.5,15.26,0.03,0.49
1668958983,2022-11-20 07:43:02,1.38,25.0,15.43,0.03,0.46
1668959042,2022-11-20 07:44:02,1.38,23.75,15.64,0.03,0.45
1668959103,2022-11-20 07:45:02,1.38,26.88,15.44,0.03,0.51
1668959162,2022-11-20 07:46:02,1.44,28.75,15.59,0.05,0.7
1668959223,2022-11-20 07:47:02,1.44,51.25,16.73,0.06,0.94
1668959283,2022-11-20 07:48:03,1.5,70.63,15.8,0.06,0.9
1668959343,2022-11-20 07:49:02,1.56,66.25,18.32,0.01,0.24
1668959403,2022-11-20 07:50:02,1.62,43.75,15.42,0.03,0.54
1668959462,2022-11-20 07:51:02,1.69,35.63,15.56,0.03,0.51
1668959523,2022-11-20 07:52:02,1.75,27.5,15.66,0.03,0.53
1668959582,2022-11-20 07:53:02,1.75,26.88,16.33,0.03,0.5
1668959643,2022-11-20 07:54:02,1.81,27.5,15.54,0.03,0.53
1668959702,2022-11-20 07:55:02,1.88,26.25,18.0,0.01,0.16
1668959763,2022-11-20 07:56:02,1.94,25.63,16.86,0.03,0.42
1668959822,2022-11-20 07:57:02,2.0,26.88,15.68,0.04,0.57
1668959883,2022-11-20 07:58:02,2.0,29.38,15.94,0.04,0.63
1668959942,2022-11-20 07:59:02,2.06,35.0,15.53,0.05,0.81
1668960003,2022-11-20 08:00:02,2.12,51.25,15.5,0.06,0.96
1668960062,2022-11-20 08:01:02,2.19,56.25,15.57,0.07,1.06
1668960123,2022-11-20 08:02:02,2.31,56.88,16.74,0.07,1.15
1668960182,2022-11-20 08:03:02,2.44,61.88,15.92,0.09,1.41
1668960243,2022-11-20 08:04:02,2.56,67.5,15.84,0.1,1.6
1668960303,2022-11-20 08:05:03,2.75,73.13,17.35,0.1,1.7
1668960363,2022-11-20 08:06:02,2.94,90.0,15.97,0.11,1.83
1668960423,2022-11-20 08:07:03,3.19,110.0,16.08,0.12,1.86
1668960482,2022-11-20 08:08:02,3.38,112.5,16.17,0.12,1.9
1668960543,2022-11-20 08:09:02,3.56,104.38,16.18,0.12,1.97
1668960602,2022-11-20 08:10:02,3.88,103.13,17.04,0.13,2.23
1668960663,2022-11-20 08:11:02,4.06,109.38,16.38,0.16,2.57
1668960722,2022-11-20 08:12:02,4.38,145.0,16.36,0.16,2.63
1668960783,2022-11-20 08:13:02,4.69,186.26,16.35,0.17,2.84
1668960843,2022-11-20 08:14:03,5.0,187.51,17.67,0.17,2.96
1668960902,2022-11-20 08:15:02,5.25,176.26,16.67,0.19,3.19
1668960963,2022-11-20 08:16:03,5.62,180.01,16.17,0.22,3.55
1668961023,2022-11-20 08:17:02,6.0,188.76,16.94,0.25,4.29
1668961083,2022-11-20 08:18:03,6.44,211.88,16.73,0.31,5.16
1668961142,2022-11-20 08:19:02,7.0,237.51,16.78,0.37,6.27
1668961203,2022-11-20 08:20:02,7.69,272.51,19.16,0.34,6.37
1668961262,2022-11-20 08:21:02,8.38,308.13,18.06,0.39,7.01
1668961323,2022-11-20 08:22:02,8.38,314.38,16.15,0.43,6.91
1668961382,2022-11-20 08:23:02,9.94,318.13,17.45,0.42,7.19
1668961443,2022-11-20 08:24:03,10.69,321.88,18.82,0.37,6.94
1668961503,2022-11-20 08:25:02,11.44,325.01,16.58,0.44,7.28
1668961563,2022-11-20 08:26:03,12.12,328.76,17.45,0.43,7.45
1668961623,2022-11-20 08:27:02,12.81,331.89,16.64,0.45,7.45
1668961682,2022-11-20 08:28:02,13.44,335.01,18.39,0.4,7.42
1668961743,2022-11-20 08:29:02,13.44,338.76,17.1,0.45,7.67
1668961802,2022-11-20 08:30:02,14.75,341.89,16.1,0.47,7.59
1668961863,2022-11-20 08:31:02,15.25,345.64,16.69,0.47,7.78
1668961922,2022-11-20 08:32:02,15.81,348.76,18.57,0.41,7.56
1668961983,2022-11-20 08:33:02,16.25,351.26,18.05,0.44,7.88
1668962042,2022-11-20 08:34:02,16.75,354.39,16.64,0.48,8.03
1668962102,2022-11-20 08:35:02,17.31,358.14,16.93,0.48,8.16
1668962163,2022-11-20 08:36:02,17.81,361.89,16.81,0.49,8.25
1668962222,2022-11-20 08:37:02,18.25,364.39,17.49,0.48,8.35
1668962283,2022-11-20 08:38:02,18.69,368.14,18.18,0.45,8.26
1668962342,2022-11-20 08:39:02,19.12,371.26,18.07,0.46,8.34
1668962403,2022-11-20 08:40:02,19.56,375.64,16.17,0.52,8.46
1668962462,2022-11-20 08:41:02,20.0,378.14,17.82,0.48,8.59
1668962522,2022-11-20 08:42:02,20.31,381.26,16.6,0.53,8.74
1668962583,2022-11-20 08:43:02,20.5,385.01,16.99,0.52,8.86
1668962642,2022-11-20 08:44:02,20.88,388.14,17.19,0.52,8.99
1668962703,2022-11-20 08:45:02,21.12,388.76,16.55,0.54,8.92
1668962762,2022-11-20 08:46:02,21.31,389.39,17.45,0.52,9.01
1668962823,2022-11-20 08:47:02,21.81,392.51,16.62,0.54,9.01
1668962882,2022-11-20 08:48:02,22.19,395.64,16.35,0.55,9.05
1668962943,2022-11-20 08:49:02,22.5,401.26,16.68,0.55,9.22
1668963003,2022-11-20 08:50:03,22.75,408.14,16.8,0.56,9.39
1668963062,2022-11-20 08:51:02,23.06,411.89,17.36,0.55,9.5
1668963123,2022-11-20 08:52:02,23.44,415.01,16.82,0.57,9.59
1668963182,2022-11-20 08:53:02,23.69,418.14,16.8,0.58,9.71
1668963243,2022-11-20 08:54:02,24.0,421.26,16.64,0.59,9.75
1668963302,2022-11-20 08:55:02,24.25,423.76,16.92,0.58,9.87
1668963363,2022-11-20 08:56:02,24.5,427.51,17.49,0.57,9.9
1668963422,2022-11-20 08:57:02,24.75,430.01,14.69,0.63,9.26
1668963483,2022-11-20 08:58:02,25.06,433.14,18.46,0.51,9.39
1668963542,2022-11-20 08:59:02,25.25,437.51,17.09,0.6,10.21
1668963603,2022-11-20 09:00:02,25.31,439.39,18.05,0.55,9.94
1668963662,2022-11-20 09:01:02,25.56,443.14,17.14,0.6,10.36
1668963723,2022-11-20 09:02:02,25.75,448.14,17.15,0.61,10.46
1668963782,2022-11-20 09:03:02,26.0,452.51,17.89,0.58,10.3
1668963843,2022-11-20 09:04:03,26.31,460.64,17.2,0.61,10.58
1668963903,2022-11-20 09:05:02,26.5,459.39,18.18,0.56,10.15
