timestamp,time,temperature,irradiance,voltage,current,power
1669561203,2022-11-27 07:00:02,1.25,2.5,13.26,0.0,0.05
1669561262,2022-11-27 07:01:02,1.25,3.13,13.26,0.0,0.05
1669561323,2022-11-27 07:02:02,1.25,3.75,13.27,0.0,0.06
1669561383,2022-11-27 07:03:03,1.25,4.38,13.27,0.01,0.07
1669561443,2022-11-27 07:04:02,1.25,4.38,13.28,0.01,0.09
1669561503,2022-11-27 07:05:03,1.25,5.63,13.28,0.01,0.1
1669561563,2022-11-27 07:06:02,1.25,7.5,13.29,0.01,0.13
1669561623,2022-11-27 07:07:03,1.25,8.13,13.3,0.01,0.15
1669561683,2022-11-27 07:08:02,1.25,8.75,13.3,0.01,0.17
1669561743,2022-11-27 07:09:03,1.31,10.0,13.31,0.01,0.19
1669561803,2022-11-27 07:10:02,1.31,11.25,13.32,0.02,0.22
1669561863,2022-11-27 07:11:03,1.31,12.5,13.32,0.02,0.25
1669561923,2022-11-27 07:12:02,1.38,14.38,13.33,0.02,0.28
1669561982,2022-11-27 07:13:02,1.38,16.25,13.34,0.02,0.31
1669562043,2022-11-27 07:14:02,1.44,17.5,13.36,0.03,0.34
1669562103,2022-11-27 07:15:03,1.44,19.38,13.37,0.03,0.37
1669562162,2022-11-27 07:16:02,1.5,20.0,13.4,0.03,0.39
1669562223,2022-11-27 07:17:02,1.56,20.63,13.39,0.03,0.41
1669562282,2022-11-27 07:18:02,1.62,21.88,13.51,0.03,0.42
1669562343,2022-11-27 07:19:02,1.69,21.88,13.53,0.03,0.43
1669562403,2022-11-27 07:20:03,1.69,23.13,15.08,0.03,0.44
1669562462,2022-11-27 07:21:02,1.75,24.38,15.72,0.03,0.44
1669562523,2022-11-27 07:22:02,1.81,25.63,16.12,0.03,0.44
1669562582,2022-11-27 07:23:02,1.88,26.88,16.38,0.03,0.44
1669562643,2022-11-27 07:24:02,1.94,28.13,16.51,0.03,0.46
1669562703,2022-11-27 07:25:02,2.0,28.75,16.77,0.03,0.45
1669562762,2022-11-27 07:26:02,2.06,30.0,16.84,0.03,0.46
1669562823,2022-11-27 07:27:02,2.12,30.0,16.97,0.03,0.44
1669562883,2022-11-27 07:28:03,2.19,28.75,16.91,0.03,0.44
1669562942,2022-11-27 07:29:02,2.25,30.0,17.05,0.03,0.45
1669563003,2022-11-27 07:30:02,2.31,31.88,17.32,0.03,0.45
1669563062,2022-11-27 07:31:02,2.38,33.75,17.53,0.03,0.45
1669563123,2022-11-27 07:32:02,2.44,35.63,17.72,0.03,0.45
1669563182,2022-11-27 07:33:02,2.5,37.5,17.8,0.03,0.45
1669563243,2022-11-27 07:34:02,2.56,36.88,17.77,0.03,0.46
1669563302,2022-11-27 07:35:02,2.62,37.5,17.86,0.02,0.44
1669563363,2022-11-27 07:36:02,2.75,38.75,17.98,0.03,0.44
1669563422,2022-11-27 07:37:02,2.81,40.0,18.12,0.02,0.45
1669563483,2022-11-27 07:38:02,2.88,41.88,18.27,0.03,0.46
1669563542,2022-11-27 07:39:02,2.94,45.0,15.52,0.06,0.93
1669563603,2022-11-27 07:40:03,3.06,47.5,18.88,0.01,0.24
1669563663,2022-11-27 07:41:02,3.12,47.5,15.04,0.06,0.95
1669563723,2022-11-27 07:42:03,3.19,49.38,18.74,0.02,0.33
1669563783,2022-11-27 07:43:02,3.31,48.75,15.68,0.06,0.94
1669563843,2022-11-27 07:44:03,3.38,45.63,15.52,0.06,0.9
1669563903,2022-11-27 07:45:02,3.44,41.88,15.41,0.06,0.86
1669563962,2022-11-27 07:46:02,3.5,43.13,15.45,0.06,0.89
1669564023,2022-11-27 07:47:02,3.56,43.75,15.77,0.05,0.87
1669564082,2022-11-27 07:48:02,3.62,43.75,15.66,0.06,0.88
