timestamp,time,temperature,irradiance,voltage,current,power
1666015203,2022-10-17 07:00:02,7.5,0.0,8.7,-0.0,0.0
1666015262,2022-10-17 07:01:02,7.56,0.0,9.17,-0.0,0.0
1666015323,2022-10-17 07:02:02,7.56,0.0,9.6,-0.0,0.0
1666015382,2022-10-17 07:03:02,7.56,0.0,9.99,-0.0,0.0
1666015443,2022-10-17 07:04:02,7.56,0.0,10.35,0.0,0.0
1666015502,2022-10-17 07:05:02,7.56,0.0,10.69,-0.0,0.0
1666015563,2022-10-17 07:06:02,7.56,0.0,11.03,-0.0,0.0
1666015622,2022-10-17 07:07:02,7.62,0.0,11.37,0.0,0.0
1666015683,2022-10-17 07:08:02,7.62,0.0,11.69,0.0,0.0
1666015742,2022-10-17 07:09:02,7.62,0.0,11.98,-0.0,0.0
1666015803,2022-10-17 07:10:02,7.62,0.0,12.25,-0.0,0.0
1666015862,2022-10-17 07:11:02,7.69,0.63,12.5,0.0,0.0
1666015923,2022-10-17 07:12:02,7.62,0.63,12.74,0.0,0.0
1666015982,2022-10-17 07:13:02,7.62,1.25,12.97,0.0,0.0
1666016043,2022-10-17 07:14:02,7.56,1.25,13.16,0.0,0.0
1666016103,2022-10-17 07:15:03,7.5,1.25,13.2,0.0,0.01
1666016163,2022-10-17 07:16:02,7.5,1.88,13.22,0.0,0.01
1666016222,2022-10-17 07:17:02,7.44,1.88,13.23,0.0,0.02
1666016283,2022-10-17 07:18:02,7.44,2.5,13.24,0.0,0.03
1666016342,2022-10-17 07:19:02,7.44,2.5,13.25,0.0,0.03
1666016402,2022-10-17 07:20:02,7.44,2.5,13.26,0.0,0.04
1666016463,2022-10-17 07:21:02,7.44,3.13,13.26,0.0,0.05
1666016522,2022-10-17 07:22:02,7.38,3.75,13.27,0.0,0.06
1666016583,2022-10-17 07:23:02,7.38,4.38,13.27,0.01,0.07
1666016642,2022-10-17 07:24:02,7.38,5.0,13.28,0.01,0.08
1666016703,2022-10-17 07:25:02,7.38,5.0,13.28,0.01,0.09
1666016762,2022-10-17 07:26:02,7.38,5.63,13.28,0.01,0.1
1666016823,2022-10-17 07:27:02,7.44,6.25,13.29,0.01,0.11
1666016882,2022-10-17 07:28:02,7.5,6.25,13.29,0.01,0.12
1666016943,2022-10-17 07:29:02,7.5,7.5,13.3,0.01,0.14
1666017003,2022-10-17 07:30:02,7.56,7.5,13.3,0.01,0.15
1666017063,2022-10-17 07:31:02,7.56,8.75,13.3,0.01,0.16
1666017123,2022-10-17 07:32:02,7.62,8.75,13.3,0.01,0.17
1666017183,2022-10-17 07:33:03,7.69,9.38,13.31,0.01,0.18
1666017243,2022-10-17 07:34:02,7.69,9.38,13.31,0.01,0.2
1666017303,2022-10-17 07:35:03,7.69,10.63,13.31,0.02,0.21
1666017363,2022-10-17 07:36:02,7.75,10.63,13.32,0.02,0.22
1666017422,2022-10-17 07:37:02,7.75,11.25,13.32,0.02,0.23
1666017483,2022-10-17 07:38:02,7.75,11.88,13.32,0.02,0.24
1666017542,2022-10-17 07:39:02,7.75,12.5,13.32,0.02,0.26
1666017603,2022-10-17 07:40:02,7.75,12.5,13.33,0.02,0.27
1666017662,2022-10-17 07:41:02,7.75,13.13,13.33,0.02,0.27
1666017723,2022-10-17 07:42:02,7.75,13.75,13.34,0.02,0.29
1666017782,2022-10-17 07:43:02,7.75,14.38,13.34,0.02,0.31
1666017843,2022-10-17 07:44:02,7.81,15.63,13.35,0.02,0.33
1666017902,2022-10-17 07:45:02,7.88,16.25,13.36,0.03,0.36
1666017963,2022-10-17 07:46:02,7.88,18.75,13.41,0.03,0.4
1666018022,2022-10-17 07:47:02,7.94,20.63,15.06,0.03,0.44
1666018083,2022-10-17 07:48:03,7.94,24.38,16.27,0.03,0.44
1666018143,2022-10-17 07:49:02,8.0,27.5,16.73,0.03,0.44
1666018202,2022-10-17 07:50:02,8.06,37.5,17.62,0.03,0.45
1666018263,2022-10-17 07:51:03,8.12,51.88,18.0,0.02,0.44
1666018323,2022-10-17 07:52:02,8.25,45.0,17.26,0.03,0.44
1666018382,2022-10-17 07:53:02,8.38,25.63,16.37,0.03,0.44
1666018443,2022-10-17 07:54:03,8.44,25.63,16.51,0.03,0.44
1666018503,2022-10-17 07:55:02,8.5,29.38,16.47,0.03,0.44
1666018563,2022-10-17 07:56:03,8.5,27.5,16.21,0.03,0.44
1666018623,2022-10-17 07:57:02,8.56,25.0,15.76,0.03,0.44
1666018683,2022-10-17 07:58:03,8.56,25.0,15.9,0.03,0.44
1666018743,2022-10-17 07:59:02,8.56,26.88,16.04,0.03,0.44
1666018803,2022-10-17 08:00:03,8.56,26.88,16.4,0.03,0.44
