timestamp,time,temperature,irradiance,voltage,current,power
1666706402,2022-10-25 07:00:02,7.25,0.0,3.34,-0.0,0.0
1666706463,2022-10-25 07:01:02,7.25,0.0,3.76,-0.0,0.0
1666706523,2022-10-25 07:02:02,7.25,0.0,4.88,-0.0,0.0
1666706582,2022-10-25 07:03:02,7.25,0.0,5.84,-0.0,0.0
1666706642,2022-10-25 07:04:02,7.25,0.0,6.67,-0.0,0.0
1666706703,2022-10-25 07:05:02,7.25,0.0,7.36,-0.0,0.0
1666706763,2022-10-25 07:06:03,7.25,0.0,7.96,-0.0,0.0
1666706822,2022-10-25 07:07:02,7.25,0.0,8.47,-0.0,0.0
1666706883,2022-10-25 07:08:02,7.25,0.0,8.93,-0.0,0.0
1666706943,2022-10-25 07:09:03,7.25,0.0,9.34,-0.0,0.0
1666707002,2022-10-25 07:10:02,7.19,0.0,9.7,-0.0,0.0
1666707063,2022-10-25 07:11:02,7.19,0.0,10.04,-0.0,0.0
1666707123,2022-10-25 07:12:03,7.19,0.0,10.37,-0.0,0.0
1666707183,2022-10-25 07:13:02,7.19,-0.63,10.67,-0.0,0.0
1666707243,2022-10-25 07:14:02,7.19,0.0,10.96,0.0,0.0
1666707303,2022-10-25 07:15:03,7.19,0.0,11.23,-0.0,0.0
1666707362,2022-10-25 07:16:02,7.25,0.0,11.49,0.0,0.0
1666707423,2022-10-25 07:17:02,7.31,0.0,11.74,0.0,0.0
1666707482,2022-10-25 07:18:02,7.31,0.0,11.98,0.0,0.0
1666707542,2022-10-25 07:19:02,7.38,0.0,12.21,0.0,0.0
1666707603,2022-10-25 07:20:02,7.38,0.63,12.37,0.0,0.0
1666707663,2022-10-25 07:21:02,7.31,0.63,12.4,0.0,0.0
1666707722,2022-10-25 07:22:02,7.31,1.25,12.42,0.0,0.01
1666707782,2022-10-25 07:23:02,7.31,1.25,12.43,0.0,0.01
1666707843,2022-10-25 07:24:02,7.31,1.25,12.44,0.0,0.02
1666707903,2022-10-25 07:25:02,7.31,1.88,12.44,0.0,0.02
1666707962,2022-10-25 07:26:02,7.31,1.88,12.44,0.0,0.03
1666708022,2022-10-25 07:27:02,7.31,1.88,12.45,0.0,0.03
1666708083,2022-10-25 07:28:02,7.31,1.88,12.45,0.0,0.03
1666708143,2022-10-25 07:29:02,7.31,2.5,12.46,0.0,0.04
1666708202,2022-10-25 07:30:02,7.38,3.13,12.46,0.0,0.05
1666708262,2022-10-25 07:31:02,7.31,3.13,12.46,0.0,0.05
1666708323,2022-10-25 07:32:02,7.31,3.75,12.46,0.0,0.06
1666708383,2022-10-25 07:33:02,7.31,3.75,12.47,0.01,0.06
1666708442,2022-10-25 07:34:02,7.38,4.38,12.47,0.01,0.07
1666708502,2022-10-25 07:35:02,7.38,4.38,12.47,0.01,0.08
1666708563,2022-10-25 07:36:02,7.38,4.38,12.47,0.01,0.08
1666708623,2022-10-25 07:37:03,7.38,5.0,12.47,0.01,0.09
1666708682,2022-10-25 07:38:02,7.38,5.0,12.47,0.01,0.09
1666708743,2022-10-25 07:39:02,7.38,5.63,12.48,0.01,0.1
1666708803,2022-10-25 07:40:03,7.38,5.63,12.48,0.01,0.1
1666708862,2022-10-25 07:41:02,7.44,6.25,12.48,0.01,0.1
1666708923,2022-10-25 07:42:02,7.44,6.25,12.48,0.01,0.11
1666708983,2022-10-25 07:43:03,7.5,6.25,12.48,0.01,0.11
1666709042,2022-10-25 07:44:02,7.5,6.88,12.48,0.01,0.12
1666709103,2022-10-25 07:45:02,7.56,7.5,12.48,0.01,0.13
1666709163,2022-10-25 07:46:03,7.56,8.13,12.48,0.01,0.14
1666709222,2022-10-25 07:47:02,7.56,8.75,12.49,0.01,0.15
1666709283,2022-10-25 07:48:02,7.62,10.0,12.5,0.01,0.18
1666709343,2022-10-25 07:49:02,7.62,11.25,12.52,0.02,0.26
1666709403,2022-10-25 07:50:03,7.69,20.0,12.64,0.03,0.37
1666709462,2022-10-25 07:51:02,7.75,30.0,15.86,0.03,0.44
1666709523,2022-10-25 07:52:02,7.81,40.63,15.08,0.03,0.44
1666709583,2022-10-25 07:53:02,7.88,31.88,12.54,0.03,0.32
1666709643,2022-10-25 07:54:03,7.94,22.5,12.54,0.02,0.3
1666709702,2022-10-25 07:55:02,8.0,21.25,12.55,0.03,0.33
1666709763,2022-10-25 07:56:02,8.0,22.5,12.53,0.02,0.31
1666709823,2022-10-25 07:57:03,8.06,18.13,12.53,0.02,0.3
1666709882,2022-10-25 07:58:02,8.06,18.13,12.56,0.03,0.34
1666709943,2022-10-25 07:59:02,8.12,22.5,12.59,0.03,0.36
1666710003,2022-10-25 08:00:02,8.12,22.5,12.58,0.03,0.36
1666710062,2022-10-25 08:01:02,8.19,20.63,13.38,0.03,0.41
1666710123,2022-10-25 08:02:02,8.25,23.75,15.59,0.03,0.44
1666710183,2022-10-25 08:03:02,8.25,30.0,16.7,0.03,0.44
1666710242,2022-10-25 08:04:02,8.31,33.13,17.19,0.03,0.44
1666710302,2022-10-25 08:05:02,8.31,38.75,15.5,0.05,0.83
1666710363,2022-10-25 08:06:02,8.5,51.25,14.66,0.07,1.03
1666710423,2022-10-25 08:07:02,8.62,77.5,19.46,0.02,0.38
1666710482,2022-10-25 08:08:02,8.81,117.5,18.76,0.07,1.38
1666710542,2022-10-25 08:09:02,9.06,149.38,15.2,0.12,1.89
1666710603,2022-10-25 08:10:02,9.31,150.63,19.08,0.07,1.37
1666710663,2022-10-25 08:11:03,9.69,157.5,14.7,0.13,1.92
1666710722,2022-10-25 08:12:02,10.0,170.01,15.34,0.14,2.12
1666710783,2022-10-25 08:13:02,10.31,147.5,19.1,0.07,1.42
1666710843,2022-10-25 08:14:02,10.31,205.01,18.2,0.16,2.86
1666710902,2022-10-25 08:15:02,11.12,211.88,15.56,0.19,3.01
1666710962,2022-10-25 08:16:02,11.44,203.13,16.72,0.19,3.16
1666711023,2022-10-25 08:17:02,11.81,181.26,15.29,0.17,2.64
1666711083,2022-10-25 08:18:02,12.12,230.01,15.38,0.22,3.36
1666711142,2022-10-25 08:19:02,12.5,232.51,15.88,0.22,3.53
1666711202,2022-10-25 08:20:02,12.81,236.26,17.4,0.23,3.93
1666711262,2022-10-25 08:21:02,13.19,241.26,14.94,0.24,3.55
1666711323,2022-10-25 08:22:02,13.5,246.88,14.63,0.24,3.58
1666711383,2022-10-25 08:23:02,13.94,251.88,14.19,0.25,3.58
1666711443,2022-10-25 08:24:02,14.31,258.13,17.08,0.25,4.26
1666711502,2022-10-25 08:25:02,14.69,263.76,16.13,0.26,4.15
1666711562,2022-10-25 08:26:02,15.0,269.38,17.46,0.26,4.54
1666711623,2022-10-25 08:27:02,15.31,275.63,17.46,0.26,4.62
1666711683,2022-10-25 08:28:02,15.69,280.01,17.34,0.27,4.7
1666711743,2022-10-25 08:29:03,16.12,283.76,18.14,0.26,4.66
1666711802,2022-10-25 08:30:02,16.44,287.51,16.26,0.29,4.65
1666711863,2022-10-25 08:31:02,16.69,292.51,17.47,0.29,5.01
1666711923,2022-10-25 08:32:02,16.94,298.76,16.58,0.3,4.92
1666711982,2022-10-25 08:33:02,17.19,305.63,17.76,0.29,5.13
1666712042,2022-10-25 08:34:02,17.5,311.26,17.85,0.29,5.18
1666712103,2022-10-25 08:35:02,17.69,318.13,18.01,0.29,5.26
1666712163,2022-10-25 08:36:03,18.0,324.38,16.64,0.32,5.39
1666712223,2022-10-25 08:37:02,18.31,328.14,15.13,0.33,5.05
1666712283,2022-10-25 08:38:02,18.62,333.14,18.6,0.28,5.24
1666712342,2022-10-25 08:39:02,18.88,338.14,16.34,0.34,5.61
1666712403,2022-10-25 08:40:02,19.19,341.89,15.22,0.35,5.35
1666712463,2022-10-25 08:41:03,19.44,346.89,16.83,0.35,5.97
1666712523,2022-10-25 08:42:02,19.75,351.26,16.94,0.36,6.07
1666712583,2022-10-25 08:43:03,20.12,357.51,16.96,0.36,6.17
1666712642,2022-10-25 08:44:02,20.5,363.14,17.04,0.37,6.27
1666712703,2022-10-25 08:45:02,20.81,364.39,18.15,0.35,6.0
1666712762,2022-10-25 08:46:02,21.0,366.26,16.25,0.39,6.31
1666712822,2022-10-25 08:47:02,21.19,370.01,17.64,0.38,6.49
1666712883,2022-10-25 08:48:02,21.25,375.64,15.62,0.4,6.32
1666712943,2022-10-25 08:49:02,21.31,385.01,17.12,0.39,6.76
1666713002,2022-10-25 08:50:02,21.62,393.76,16.62,0.41,6.85
1666713062,2022-10-25 08:51:02,21.81,403.14,17.39,0.4,6.94
1666713123,2022-10-25 08:52:02,21.94,411.26,15.75,0.43,6.78
1666713183,2022-10-25 08:53:02,22.12,418.76,17.14,0.42,7.16
1666713242,2022-10-25 08:54:02,22.44,420.64,15.86,0.44,7.0
1666713302,2022-10-25 08:55:02,22.56,421.89,16.22,0.45,7.25
1666713363,2022-10-25 08:56:02,22.75,425.01,16.28,0.45,7.36
1666713423,2022-10-25 08:57:03,22.81,428.14,15.98,0.46,7.36
1666713482,2022-10-25 08:58:02,23.06,430.64,17.3,0.44,7.61
1666713543,2022-10-25 08:59:02,23.19,432.51,15.72,0.48,7.5
1666713603,2022-10-25 09:00:03,23.12,433.14,17.56,0.44,7.81
1666713662,2022-10-25 09:01:02,22.88,435.64,17.28,0.46,8.0
1666713723,2022-10-25 09:02:02,23.31,438.76,15.28,0.49,7.45
1666713783,2022-10-25 09:03:03,23.5,443.76,15.2,0.49,7.48
1666713842,2022-10-25 09:04:02,23.62,450.64,17.21,0.48,8.28
1666713903,2022-10-25 09:05:02,23.81,454.39,17.0,0.49,8.28
1666713963,2022-10-25 09:06:03,23.81,459.39,17.19,0.48,8.37
1666714022,2022-10-25 09:07:02,24.06,465.64,16.27,0.51,8.27
1666714083,2022-10-25 09:08:02,24.44,470.64,15.82,0.51,8.07
1666714143,2022-10-25 09:09:03,24.81,475.64,16.44,0.51,8.45
1666714202,2022-10-25 09:10:02,25.06,480.01,16.21,0.52,8.39
1666714263,2022-10-25 09:11:02,25.25,485.01,18.0,0.47,8.5
1666714323,2022-10-25 09:12:02,25.69,486.26,17.22,0.52,8.88
1666714382,2022-10-25 09:13:02,25.81,490.64,17.98,0.47,8.53
1666714443,2022-10-25 09:14:02,26.06,495.02,16.46,0.53,8.68
1666714503,2022-10-25 09:15:02,26.12,498.14,17.79,0.5,8.97
